id	eixo	curso	cd_cbo	desc_cbo	marc_inc
47	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção de Máquinas Industriais 	911305	Mecânico de manutenção de máquinas, em geral	
48	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção de Máquinas Industriais 	911310	Mecânico de manutenção de máquinas gráficas	
49	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção de Máquinas Industriais 	911320	Mecânico de manutenção de máquinas têxteis	
50	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção de Máquinas Industriais 	911325	Mecânico de manutenção de máquinasferramentas (usinagem de metais)	
51	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção de Máquinas Industriais 	314405	Técnico de manutenção de sistemas e instrumentos	
52	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção de Máquinas Navais 	314315	Técnico mecânico (embarcações)	
53	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção de Máquinas Navais 	914205	Mecânico de manutenção de motores e equipamentos navais	
54	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção de Máquinas Navais 	314405	Técnico de manutenção de sistemas e instrumentos	
55	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção de Máquinas Pesadas 	314410	Técnico em manutenção de máquinas	
56	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção de Máquinas Pesadas 	314405	Técnico de manutenção de sistemas e instrumentos	
57	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção de Máquinas Pesadas 	913105	Mecânico de manutenção de aparelhos de levantamento	
58	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção de Máquinas Pesadas 	913110	Mecânico de manutenção de equipamento de mineração	
59	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção de Máquinas Pesadas 	913115	Mecânico de manutenção de máquinas agrícolas	
60	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção de Máquinas Pesadas 	913120	Mecânico de manutenção de máquinas de construção e terraplenagem	
61	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção de Máquinas Pesadas 	914420	Mecânico de manutenção de tratores	
62	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção Metroferroviária 	914305	Mecânico de manutenção de veículos ferroviários	
63	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção Metroferroviária 	352310	Agente fiscal de qualidade	
64	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção Metroferroviária 	314405	Técnico de manutenção de sistemas e instrumentos	
65	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Mecânica 	314110	Técnico mecânico	
66	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Mecânica 	314120	Técnico mecânico (máquinas)	
67	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Mecânica 	314125	Técnico mecânico (motores)	
68	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Mecânica de Precisão 	314110	Técnico mecânico	
69	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Mecânica de Precisão 	314105	Técnico em mecânica de precisão	
70	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Mecânica de Precisão 	915105	Técnico em manutenção de instrumentos de medição e precisão	
71	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Mecatrônica 	300110	Técnico em mecatrônica - robótica	
72	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Mecatrônica 	300105	Técnico em mecatrônica - automação da manufatura	
73	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Mecatrônica 	300305	Técnico em eletromecânica	
74	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Mecatrônica 	352310	Agente fiscal de qualidade	
75	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Metalurgia 	314705	Técnico de acabamento em siderurgia	
76	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Metalurgia 	314605	Inspetor de soldagem	
77	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Metrologia 	352305	Metrologista	
78	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Metrologia 	313405	Técnico em calibração	
79	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Metrologia 	313415	Encarregado de manutenção de instrumentos de controle, medição e similares	
80	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Metrologia 	352315	Agente fiscal metrológico	
81	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Refrigeração e Climatização 	314115	Técnico mecânico (calefação, ventilação e refrigeração)	
82	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Refrigeração e Climatização 	911205	Mecânico de manutenção e instalação de aparelhos de climatização e  refrigeração	
83	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Sistemas a Gás 	314110	Técnico mecânico	
84	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Sistemas de Energia Renovável 	313110	Eletrotécnico (produção de energia)	
85	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Soldagem 	314620	Técnico em soldagem	
86	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Soldagem 	314605	Inspetor de soldagem	
87	DESENVOLVIMENTO EDUCACIONAL E SOCIAL 	Técnico em Alimentação Escolar 	---		
88	DESENVOLVIMENTO EDUCACIONAL E SOCIAL 	Técnico em Biblioteconomia 	371110	Técnico em Biblioteconomia	
89	DESENVOLVIMENTO EDUCACIONAL E SOCIAL 	Técnico em Infraestrutura Escolar 	---		
90	DESENVOLVIMENTO EDUCACIONAL E SOCIAL 	Técnico em Laboratório de Ciências 	311105	Técnico químico*	---
91	DESENVOLVIMENTO EDUCACIONAL E SOCIAL 	Técnico em Ludoteca 	371410	Recreador	
92	DESENVOLVIMENTO EDUCACIONAL E SOCIAL 	Técnico em Multimeios Didáticos 	---		
93	DESENVOLVIMENTO EDUCACIONAL E SOCIAL 	Técnico em Orientação Comunitária 	515305	Educador social	
94	DESENVOLVIMENTO EDUCACIONAL E SOCIAL 	Técnico em Orientação Comunitária 	515310	Agente de ação social	
95	DESENVOLVIMENTO EDUCACIONAL E SOCIAL 	Técnico em Produção de Materiais Didáticos Bilíngues em Libras/Língua Portuguesa 	---		
96	DESENVOLVIMENTO EDUCACIONAL E SOCIAL 	Técnico em Secretaria Escolar 	252320	Tecnólogo em secretariado escolar*	---
97	DESENVOLVIMENTO EDUCACIONAL E SOCIAL 	Técnico em Tradução e Interpretação de Libras 	261425	Intérprete em línguas de sinais*	---
98	DESENVOLVIMENTO EDUCACIONAL E SOCIAL 	Técnico em Treinamento e Instrução de Cães-Guias 	---		
99	GESTÃO E NEGÓCIOS 	Técnico em Administração 	351305	Técnico em Administração	
100	GESTÃO E NEGÓCIOS 	Técnico em Agronegócio 	---		
101	GESTÃO E NEGÓCIOS 	Técnico em Comércio 	354205	Comprador	
102	GESTÃO E NEGÓCIOS 	Técnico em Comércio 	521115	Promotor de Vendas	
103	GESTÃO E NEGÓCIOS 	Técnico em Comércio 	354705	Representante comercial autônomo	
104	GESTÃO E NEGÓCIOS 	Técnico em Comércio 	354140	Técnico em Atendimento e Vendas	
105	GESTÃO E NEGÓCIOS 	Técnico em Comércio Exterior 	351310	Técnico em administração de comércio exterior	
106	GESTÃO E NEGÓCIOS 	Técnico em Comércio Exterior 	342105	Analista de transporte em comércio exterior	
107	GESTÃO E NEGÓCIOS 	Técnico em Comércio Exterior 	342210	Despachante aduaneiro	
108	GESTÃO E NEGÓCIOS 	Técnico em Condomínio 	510110	Administrador de Edifícios	
109	GESTÃO E NEGÓCIOS 	Técnico em Contabilidade 	351105	Técnico de contabilidade	
110	GESTÃO E NEGÓCIOS 	Técnico em Contabilidade 	351110	Chefe de contabilidade (técnico)	
111	GESTÃO E NEGÓCIOS 	Técnico em Contabilidade 	351115	Consultor contábil (técnico)	
112	GESTÃO E NEGÓCIOS 	Técnico em Controle de Qualidade 	391205	Inspetor de qualidade	
113	GESTÃO E NEGÓCIOS 	Técnico em Cooperativismo	---		
114	GESTÃO E NEGÓCIOS 	Técnico em Finanças 	353205	Técnico de operações e serviços bancários - câmbio	
115	GESTÃO E NEGÓCIOS 	Técnico em Finanças 	353210	Técnico de operações e serviços bancários - crédito imobiliário	
116	GESTÃO E NEGÓCIOS 	Técnico em Finanças 	353215	Técnico de operações e serviços bancários - crédito rural	
117	GESTÃO E NEGÓCIOS 	Técnico em Finanças 	353220	Técnico de operações e serviços bancários - leasing	
118	GESTÃO E NEGÓCIOS 	Técnico em Finanças 	353225	Técnico de operações e serviços bancários - renda fixa e variável	
119	GESTÃO E NEGÓCIOS 	Técnico em Finanças 	353235	Chefe de serviços bancários	
120	GESTÃO E NEGÓCIOS 	Técnico em Finanças 	353230	Tesoureiro de banco	
121	GESTÃO E NEGÓCIOS 	Técnico em Finanças 	252515	Analista de cobrança (instituições financeiras)	
122	GESTÃO E NEGÓCIOS 	Técnico em Finanças 	252525	Analista de crédito (instituições financeiras)	
123	GESTÃO E NEGÓCIOS 	Técnico em Finanças 	252545	Analista financeiro (instituições financeiras)	
124	GESTÃO E NEGÓCIOS 	Técnico em Finanças 	253305	Corretor de valores, ativos financeiros, mercadorias e derivativos	
125	GESTÃO E NEGÓCIOS 	Técnico em Logística 	391125	Técnico de planejamento de produção	
126	GESTÃO E NEGÓCIOS 	Técnico em Logística 	342110	Operador de transporte multimodal	
127	GESTÃO E NEGÓCIOS 	Técnico em Logística 	391115	Controlador de entrada e saída	
128	GESTÃO E NEGÓCIOS 	Técnico em Marketing 	354140	Técnico em Atendimento e Vendas	
129	GESTÃO E NEGÓCIOS 	Técnico em Marketing 	354130	Promotor de vendas especializado	
130	GESTÃO E NEGÓCIOS 	Técnico em Recursos Humanos 	351315	Agente de recrutamento e seleção	
131	GESTÃO E NEGÓCIOS 	Técnico em Secretariado 	351505	Técnico em secretariado	
132	GESTÃO E NEGÓCIOS 	Técnico em Seguros 	351740	Técnico de seguros	
133	GESTÃO E NEGÓCIOS 	Técnico em Seguros 	351735	Técnico de resseguros	
134	GESTÃO E NEGÓCIOS 	Técnico em Seguros 	351710	Analista de sinistros	
135	GESTÃO E NEGÓCIOS 	Técnico em Seguros 	354505	Corretor de seguros	
136	GESTÃO E NEGÓCIOS 	Técnico em Serviços Jurídicos 	351430	Auxiliar de serviços jurídicos	
